genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Italo;a110ee0b;325200;29563;6463;0.2186;23017;0.7785
Audio;a110f00e;325350;23239;5988;0.2577;19660;0.8459
House;a110f60b;325800;29618;10170;0.3434;37737;1.2741
Dance;a1110a0b;327300;29754;5010;0.1684;19158;0.6438
Lounge;a1110d0c;327525;27293;9635;0.3530;32945;1.2070
Jungle;a111180c;328350;27362;3579;0.1308;12990;0.4747
Gesproken;a1111850;328350;4104;949;0.2312;5018;1.2225
UnClassifiable;a111340e;330450;23603;4960;0.2101;15871;0.6723
Books;a111390c;330825;27568;1158;0.0420;4658;0.1689
Language;a111420a;331500;33150;7166;0.2161;27429;0.8274
Classical;a1114d0b;332325;30211;15625;0.5171;51479;1.7039
AudioBook;a1114d0c;332325;27693;8564;0.3092;26612;0.9609
Gothic;a111540b;332850;30259;7615;0.2516;28359;0.9372
Alternative;a111560c;333000;27750;33745;1.2160;129500;4.6666
Rock;a111560d;333000;25615;21673;0.8461;81082;3.1653
AudioBook;a111560e;333000;23785;10157;0.4270;32412;1.3626
Techno;a111570b;333075;30279;3208;0.1059;9902;0.3270
Psychedelic;a1116409;334050;37116;1270;0.0342;4423;0.1191
AudioBook;a1116e0b;334800;30436;6275;0.2062;22263;0.7314
Electronic;a111730c;335175;27931;12677;0.4538;40738;1.4585
Speech;a1118040;336150;5252;1047;0.1993;5328;1.0144
Psychedelic;a111940b;337650;30695;8350;0.2720;32178;1.0482
Rave;a1119a0c;338100;28175;7209;0.2558;22000;0.7808
Italo;a111a20b;338700;30790;8937;0.2902;36443;1.1835
Techno;a111b50b;340125;30920;2474;0.0800;7940;0.2567
;a111c20b;341100;31009;4890;0.1577;16727;0.5394
Audiobook;a111d60a;342600;34260;5034;0.1469;19890;0.5805
Trance;a111dd0c;343125;28593;5301;0.1854;21810;0.7627
Hoerbuch;a111ea0a;344100;34410;12823;0.3726;49428;1.4364
Pop;a111ec0b;344250;31295;4028;0.1287;13818;0.4415
Trance;a111ed0b;344325;31302;8235;0.2630;27923;0.8920
Psychedelic;a112180a;347550;34755;2516;0.0724;9261;0.2664
Lesung;a1121b0c;347775;28981;6839;0.2359;22792;0.7864
Black;a1121d0c;347925;28993;8398;0.2896;31835;1.0979
;a112280c;348750;29062;5901;0.2030;20871;0.7181
Electronic;a112280d;348750;26826;6371;0.2375;22763;0.8485
House;a1122a0c;348900;29075;3246;0.1116;11787;0.4053
House;a112310c;349425;29118;4263;0.1464;15899;0.5460
AudioBook;a112370c;349875;29156;2781;0.0954;10294;0.3530
Speech;a112391b;350025;12963;1794;0.1383;8606;0.6638
Pop;a1123a0c;350100;29175;4255;0.1458;16713;0.5728
;a1123d0b;350325;31847;4446;0.1396;14605;0.4585
Books;a112450b;350925;31902;18;0.0005;63;0.0019
Disco;a112450d;350925;26994;3162;0.1171;13263;0.4913
Trance;a1124b0c;351375;29281;4946;0.1689;18579;0.6345
Hoerbuch;a1124e0b;351600;31963;6590;0.2061;25231;0.7893
Trance;a112510b;351825;31984;5816;0.1818;21555;0.6739
Christmas;a112611b;353025;13075;3838;0.2935;18525;1.4168
Country;a112661c;353400;12621;2551;0.2021;11219;0.8888
Psychedelic;a112720a;354300;35430;2088;0.0589;7825;0.2208
Speech;a112760d;355200;27323;8900;0.3257;35801;1.3102
Rock;a1127e1c;355200;12685;3836;0.3023;16445;1.2963
Pop;a112870d;355875;27375;9554;0.3490;32737;1.1958
;a1128d0d;356325;27409;4978;0.1816;17913;0.6535
Rap;a1128f1c;356475;12731;5378;0.4224;19504;1.5319
Psychedelic;a112a00b;357750;32522;1658;0.0509;5093;0.1565
