genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Industrial;35053705;100275;20055;2136;0.1065;6213;0.3097
Reggae;35053d05;100725;20145;14463;0.7179;38733;1.9227
Ska;35054705;101475;20295;4110;0.2025;10759;0.5301
Jungle;35055305;102375;20475;1575;0.0769;4125;0.2014
Jungle;35055c05;103050;20610;2319;0.1125;5730;0.2780
Dub;35056304;103575;25893;4202;0.1623;10593;0.4090
Anime;35058905;106425;21285;7935;0.3728;24286;1.1409
Metal;35059705;107475;21495;5652;0.2629;16740;0.7787
Reggae;35061d06;117525;19587;867;0.0442;2099;0.1071
Reggae;35062205;117900;23580;5357;0.2272;12779;0.5419
Dance;35062805;118350;23670;3609;0.1525;10812;0.4567
Reggae;35062e1a;118800;4569;4629;1.0131;20992;4.5942
Rap;35063305;119175;23835;6155;0.2582;19079;0.8004
Reggae;35063804;119550;29887;20330;0.6802;49733;1.6640
;35064306;120375;20062;5617;0.2799;16583;0.8265
Reggae;35065306;121575;20262;3331;0.1644;9962;0.4916
Dance;35065406;121650;20275;3330;0.1642;9961;0.4912
Heavy;35069306;126375;21062;10862;0.5157;30565;1.4511
Hip;3506b905;129225;25845;9532;0.3688;22516;0.8711
Reggae;3506d605;131400;26280;21629;0.8230;58502;2.2261
Latin;35070305;134775;26955;7948;0.2948;21420;0.7946
Hard;35075005;140550;28110;6057;0.2155;18427;0.6555
Latin;35077604;143400;35850;19194;0.5354;52310;1.4591
Hard;3507dd05;151125;30225;4585;0.1517;13574;0.4490
Progressive;35085805;160350;32070;24417;0.7613;68320;2.1303
Electronic;35090906;173625;28937;7374;0.2548;24397;0.8430
;350b2b14;214575;10728;3781;0.3524;15416;1.4368
Reggae;350d1d14;251925;12596;2141;0.1699;8335;0.6617
Reggae;350d2015;252150;12007;3022;0.2517;16818;1.4006
Art;350d2204;252300;63075;48123;0.7629;104520;1.6570
Reggae;350da414;262050;13102;3475;0.2652;16207;1.2369
Reggaeton;350dfa14;268500;13425;2057;0.1532;7730;0.5757
Progressive;350e0f06;270075;45012;7949;0.1766;23048;0.5120
Reggae;350e6614;276600;13830;2145;0.1551;7955;0.5751
;350e8814;279150;13957;1994;0.1429;7448;0.5336
Slow;350eac05;281850;56370;65874;1.1686;170215;3.0196
Reggae;350ee016;285750;12988;3953;0.3043;18931;1.4575
Reggae;350ef216;287100;13050;3685;0.2823;16959;1.2995
Ska;350f1716;289875;13176;2259;0.1714;10385;0.7881
;350f2415;290850;11186;7566;0.6764;29212;2.6113
Reggae;350f2914;291225;14561;4710;0.3235;22557;1.5491
;350f6213;295500;15552;1714;0.1102;7287;0.4685
Dub;350f7a16;297300;13513;2511;0.1858;10028;0.7420
Prog;350fb515;301725;14367;6150;0.4280;27955;1.9456
Reggae;350fc616;303000;13772;2174;0.1578;10042;0.7291
Progressive;350ffb05;306975;61395;9616;0.1566;28220;0.4596
Reggae;35102114;309825;15491;2851;0.1840;12320;0.7952
Ska;35102514;310125;15506;4631;0.2987;17321;1.1170
Reggae;35103d13;311925;16417;1239;0.0754;5644;0.3437
Reggae;35105e15;314400;14971;3011;0.2011;12807;0.8554
Ska;35106614;315000;15750;3247;0.2062;13793;0.8757
Reggae;35107e14;316800;15840;5817;0.3672;25387;1.6027
Reggae;35108014;316950;15847;3820;0.2410;15183;0.9580
Reggae;35108b16;317775;14444;2463;0.1705;8956;0.6200
Rap;35109e17;319200;13878;4135;0.2980;14233;1.0255
;3510de12;324000;18000;4002;0.2223;16078;0.8932
Reggae;3510ee14;325200;16260;1495;0.0919;6856;0.4216
reggae;35110813;327150;17218;2244;0.1303;10451;0.6069
Reggae;35111814;328350;16417;2425;0.1477;10126;0.6167
Reggae;35111e16;328800;14945;2797;0.1872;12750;0.8531
Caribbean;35113217;330300;14360;7011;0.4882;27457;1.9119
Reggae;35114d15;332325;15825;3765;0.2379;17175;1.0853
JPop;35115605;333000;66600;90607;1.3604;245774;3.6903
rock;35117207;335100;47871;14505;0.3030;43580;0.9103
Reggae;35118514;336525;16826;3605;0.2142;14079;0.8367
Reggae;3511a114;338625;16931;3992;0.2358;22270;1.3153
Reggae;3511a916;339225;15419;2908;0.1886;10742;0.6966
;3511ad14;339525;16976;2561;0.1508;8900;0.5242
Ska;3511c215;341100;16242;3191;0.1964;11768;0.7245
World;3511cb15;341775;16275;3764;0.2313;12868;0.7906
Reggae;3511dd14;343125;17156;4538;0.2645;21140;1.2322
Dance;3511ff13;345675;18193;3179;0.1747;11838;0.6506
Reggae;35120514;346125;17306;2905;0.1678;11932;0.6894
France;35120614;346200;17310;2506;0.1448;11034;0.6374
Art;35120e05;346800;69360;25603;0.3691;69145;0.9969
Reggae;35121314;347175;17358;3554;0.2047;15494;0.8925
Dance;35122a14;348900;17445;1279;0.0733;5124;0.2937
Dub;35123e14;350400;17520;1374;0.0784;5855;0.3341
Italo;35124614;351000;17550;1966;0.1120;7477;0.4260
Reggae;35124c14;351450;17572;2004;0.1140;7725;0.4396
;35125a14;352500;17625;2676;0.1518;9303;0.5278
Reggae;35126b16;353775;16080;3546;0.2205;16830;1.0465
Reggae;35126c16;353850;16084;2246;0.1396;7660;0.4762
Rap;35128315;355575;16932;7108;0.4198;25081;1.4812
Reggae;35128714;355875;17793;4377;0.2459;19204;1.0792
Reggae;3512a315;357975;17046;1270;0.0745;5521;0.3238
Reggae;3512b326;359175;9451;1589;0.1681;7398;0.7826
Dance;3512b916;359625;16346;7403;0.4528;29708;1.8173
Reggae;3602ff04;57675;14418;8427;0.5844;22959;1.5923
Black;36030e05;58800;11760;1795;0.1526;5223;0.4441
Other;36037406;66450;11075;2985;0.2695;8986;0.8113
Reggae;36039d05;69525;13905;2756;0.1982;8012;0.5761
Punk;3603ae05;70800;14160;1906;0.1346;4874;0.3442
Reggae;3603b204;71100;17775;2189;0.1231;5615;0.3158
Rap;3603b504;71325;17831;3058;0.1714;6300;0.3533
Dubstep;3603d205;73500;14700;1596;0.1086;4533;0.3083
Crossover;3603ee04;75600;18900;4971;0.2630;13693;0.7244
Dance;36040804;77550;19387;4629;0.2388;11369;0.5864
Hip;36041005;78150;15630;4976;0.3184;13726;0.8781
Reggae;36042a05;80100;16020;1349;0.0842;3764;0.2349
Reggae;36043605;81000;16200;6699;0.4135;17672;1.0908
Ska;36043f05;81675;16335;5040;0.3085;14555;0.8910
Rave;36044704;82275;20568;1227;0.0596;3259;0.1584
R;36044c04;82650;20662;3049;0.1475;7483;0.3621
Reggae;36045905;83625;16725;387;0.0231;995;0.0594
Christmas;36046404;84450;21112;1109;0.0525;2429;0.1150
Power;36047505;85725;17145;1988;0.1159;5951;0.3470
Rap;36047d05;86325;17265;3572;0.2069;10883;0.6303
Noise;36048304;86775;21693;2141;0.0987;5973;0.2753
Ska;36049406;88050;14675;3485;0.2374;9292;0.6331
Reggae;36049a04;88500;22125;2775;0.1254;7756;0.3505
Euro;3604a204;89100;22275;4825;0.2166;10827;0.4860
Ska;3604a605;89400;17880;3107;0.1738;9169;0.5128
Reggae;3604ae05;90000;18000;7694;0.4274;23346;1.2970
Rock;3604b005;90150;18030;3429;0.1901;9374;0.5199
Reggae;3604b704;90675;22668;3868;0.1706;8930;0.3939
Reggae;3604ed05;94725;18945;1920;0.1013;4995;0.2636
Reggae;3604f005;94950;18990;3676;0.1935;8691;0.4576
Pop;3604f306;95175;15862;2406;0.1516;7778;0.4903
Hard;3604fb05;95775;19155;2652;0.1384;6332;0.3305
;36050a04;96900;24225;1187;0.0490;3285;0.1356
;36051705;97875;19575;3111;0.1589;8407;0.4294
Reggae;36056205;103500;20700;5071;0.2450;12102;0.5846
Reggae;36057a05;105300;21060;1675;0.0795;5059;0.2402
Reggae;36058005;105750;21150;2898;0.1370;7532;0.3561
Ska;36058006;105750;17625;939;0.0533;2400;0.1361
Reggae;36059105;107025;21405;1895;0.0885;5699;0.2662
Euro;3605ad05;109125;21825;3874;0.1775;9492;0.4349
Pop;3605ae04;109200;27300;12465;0.4566;25944;0.9503
House;3605e405;113250;22650;5855;0.2585;17933;0.7917
Beach;3605f905;114825;22965;3098;0.1349;7628;0.3321
Latin;36060805;115950;23190;5913;0.2550;13721;0.5916
Ska;36060d06;116325;19387;3434;0.1771;10113;0.5216
Enriched;36060e06;116400;19400;3027;0.1560;8820;0.4546
Reggae;36060f05;116475;23295;7720;0.3314;22564;0.9686
Reggae;36062b04;118575;29643;10376;0.3500;27082;0.9135
;36063205;119100;23820;2702;0.1134;7048;0.2958
;36067705;124275;17753;11677;0.6577;28360;1.5974
Reggae;3606bf04;129675;32418;15835;0.4884;40312;1.2434
Reggae;3606c605;130200;26040;8852;0.3399;26485;1.0170
Trip;3606d905;131625;26325;3755;0.1426;10700;0.4064
Disco;36071a06;136500;22750;1595;0.0701;5106;0.2244
Disco;3607c905;149625;29925;7162;0.2393;19950;0.6666
;3607f405;152850;30570;5098;0.1667;13795;0.4512
Black;36096505;180525;36105;12221;0.3384;34661;0.9600
Pop;3609d105;188625;37725;7136;0.1891;19768;0.5240
Progressive;360a0305;192375;38475;8218;0.2135;21357;0.5550
Dub;360c0506;230925;38487;4760;0.1236;15327;0.3982
Jazz;360c0e05;231600;46320;20273;0.4376;57046;1.2315
Reggae;360cd115;246225;11725;1130;0.0964;4685;0.3995
Regee;360dc404;264450;66112;5387;0.0814;14782;0.2235
Rock;360e2915;272025;12953;2436;0.1881;8769;0.6769
Reggae;360ea43b;281250;4766;2709;0.5683;14177;2.9740
Reggae;360ea916;281625;12801;2061;0.1610;7672;0.5993
Reggae;360eb216;282300;12831;4632;0.3610;16327;1.2723
;360ebf16;283275;12876;1987;0.1543;8152;0.6331
;360f2d15;291525;13882;2931;0.2111;11329;0.8160
Reggae;360f6612;295800;16433;4755;0.2894;15642;0.9518
Hip;360f8814;298350;14917;7953;0.5331;28267;1.8948
Reggae;360f9614;299400;14970;1553;0.1037;6704;0.4478
Rap;360fae14;301200;15060;7774;0.5162;40219;2.6705
Reggae;360fc814;303150;15157;2199;0.1450;8461;0.5582
Pop;360fe018;304950;12706;2551;0.2007;12190;0.9593
Pop;36103815;311550;14835;1929;0.1300;7049;0.4751
Reggae;36103b16;311775;14171;3780;0.2667;16342;1.1531
;36105f15;314475;14975;7053;0.4709;24308;1.6232
Reggae;36106014;314550;15727;1063;0.0675;4560;0.2899
Pop;36106314;314775;15738;2698;0.1714;10450;0.6639
Reggae;36106615;315000;15000;4217;0.2811;17923;1.1948
Rock;36106f13;315675;16614;4918;0.2960;21287;1.2812
Reggae;36107815;316350;15064;2437;0.1618;7503;0.4980
Reggae;36108514;317325;15866;4657;0.2935;21831;1.3759
Speech;3610de04;324000;81000;18331;0.2263;42953;0.5302
Reggae;3610e515;324525;14109;7247;0.5136;30131;2.1354
Speech;3610fb05;326175;65235;14949;0.2291;40141;0.6153
Reggae;36110e14;327600;16380;2907;0.1775;9333;0.5697
Reggae;36111315;327975;15617;1753;0.1122;6787;0.4345
Pop;36112815;329550;15692;2891;0.1842;11035;0.7031
Reggae;36112a15;329700;15700;7641;0.4866;39593;2.5218
;36112c14;329850;16492;2989;0.1812;13615;0.8255
Reggae;36114b15;332175;15817;2824;0.1785;10874;0.6874
pop;36114f14;332475;16623;4227;0.2543;20534;1.2352
Reggae;36114f15;332475;15832;1985;0.1254;7530;0.4756
;36114f17;332475;14455;3535;0.2445;17981;1.2438
Hip;36115015;332550;15835;3970;0.2507;17310;1.0930
Reggae;36117b15;335775;15989;1880;0.1176;8699;0.5440
Reggae;36118014;336150;16807;2005;0.1192;7313;0.4351
Ambient;36119105;337425;67485;21625;0.3204;59850;0.8868
Reggae;3611a414;338850;16942;1521;0.0898;6296;0.3716
Rap;3611b615;340200;16200;4683;0.2890;18692;1.1538
Reggae;3611bf15;340875;16232;1289;0.0794;4416;0.2720
reggae;3611cd13;341925;17996;4404;0.2447;20206;1.1228
Reggae;3611d217;342300;14882;4760;0.3199;21750;1.4614
90;3611f113;344625;18138;2007;0.1106;8553;0.4715
Reggae;3611f714;345075;17253;2210;0.1281;7911;0.4585
Pop;36120714;346275;17313;2287;0.1321;8973;0.5182
Rap;36120f14;346875;17343;2201;0.1269;8527;0.4916
Pop;36124515;350925;16710;1732;0.1036;7531;0.4506
Rap;36125014;351750;17587;5313;0.3021;24927;1.4173
;36125215;351900;16757;2262;0.1350;9173;0.5474
Reggae;36125316;351975;15998;1665;0.1040;6166;0.3854
;36125514;352125;17606;12586;0.7149;60897;3.4588
;36125716;352275;14678;4948;0.3371;20566;1.4011
;36127014;354150;17707;2941;0.1661;11700;0.6607
;36127214;354300;17715;2329;0.1315;7967;0.4497
Rock;36127515;354525;16882;2326;0.1377;11409;0.6758
;36127616;354600;16118;4335;0.2689;18773;1.1647
Hip;36128914;356025;17801;2012;0.1130;6934;0.3895
;3612a514;358125;17906;4040;0.2256;16784;0.9373
Reggae;3612ad14;358725;17936;5105;0.2846;25005;1.3941
Pop;3612c315;360375;17160;1926;0.1122;7581;0.4417
JPop;37038e04;68400;17100;2731;0.1597;7163;0.4188
Black;3703c204;72300;18075;3111;0.1721;8625;0.4771
Pop;3703cd05;73125;14625;2177;0.1489;6240;0.4266
Amphetamine;3703da06;74100;12350;5094;0.4124;14859;1.2031
Booty;37042005;79350;15870;3265;0.2057;9268;0.5839
Alternative;37043a05;81300;16260;1617;0.0994;5063;0.3113
Festif;37044405;82050;16410;2493;0.1519;7051;0.4296
Dance;37044a05;82500;16500;8248;0.4999;25936;1.5718
Reggae;37045a05;83700;16740;4674;0.2792;13060;0.7801
Ska;37046905;84825;16965;3328;0.1961;10050;0.5923
JPop;37047b04;86175;21543;523;0.0242;1200;0.0557
Pop;37047b05;86175;17235;1339;0.0777;3870;0.2245
Reggae;37048405;86850;17370;349;0.0201;1090;0.0627
Club;37048904;87225;21806;3756;0.1722;10358;0.4750
Reggae;37048905;87225;17445;736;0.0422;1956;0.1121
Reggae;37049305;87975;17595;5601;0.3183;17593;0.9998
Performance;37049c05;88650;17730;5763;0.3250;14521;0.8190
Reggae;3704a404;89250;22312;5089;0.2280;12540;0.5620
Reggae;3704a805;89550;17910;2084;0.1164;6064;0.3385
Rap;3704ac05;89850;17970;911;0.0507;2250;0.1252
Reggae;3704ae04;90000;22500;4978;0.2212;11626;0.5167
Reggae;3704b005;90150;18030;4341;0.2407;11467;0.6359
Reggae;3704c005;91350;18270;3898;0.2133;11770;0.6442
Anime;3704f706;95475;15912;2591;0.1628;7458;0.4686
Dub;3704f905;95625;19125;1645;0.0860;4220;0.2206
Reggae;37050605;96600;19320;3736;0.1933;9808;0.5076
Reggae;37050706;96675;16112;2234;0.1386;7107;0.4410
J;37051505;97725;19545;1174;0.0600;2988;0.1528
;37051e05;98400;19680;5871;0.2983;15639;0.7946
Reggae;37051f05;98475;19695;3416;0.1734;9334;0.4739
Celtic;37052305;98775;19755;1931;0.0977;5112;0.2587
Pop;37053505;100125;20025;1511;0.0754;3268;0.1631
Hip;37054406;101250;16875;1568;0.0929;4669;0.2766
Reggae;37054b05;101775;20355;2414;0.1186;6472;0.3179
Swing;37055105;102225;20445;7667;0.3750;22852;1.1177
Reggae;37056006;103350;17225;2882;0.1673;9515;0.5523
;37058705;106275;15182;10355;0.6820;28605;1.8841
Acid;37059405;107250;21450;6199;0.2890;17388;0.8106
