genre;id;length;avg l;stdev;stdev pc;amp;amp pc
Pop;af0d110f;251025;16735;1001;0.0598;3099;0.1851
;b00c9c0d;242250;16150;6516;0.4035;22155;1.3718
Pop;b00d110f;251025;16735;1001;0.0598;3099;0.1851
;bd0fcf0e;303675;21691;4055;0.1869;13920;0.6417
Karaoke;bf0e260f;271800;18120;1932;0.1066;7760;0.4282
Karaoke;c90cca0d;245700;18900;1640;0.0868;6659;0.3523
Rock;cd0f0710;288675;18042;2010;0.1114;7550;0.4184
Karaoke;d30c2a0e;233700;16692;1560;0.0934;5631;0.3373
Pop;d30fb60e;301800;21557;4075;0.1890;14009;0.6498
Country;d8120210;345900;21618;3825;0.1769;13920;0.6438
Karaoke;dd0f8910;298425;18651;2651;0.1421;9705;0.5203
Pop;fa0f4c10;293850;18365;2789;0.1518;10201;0.5554
Misc;fc0f6c10;296250;18515;2790;0.1506;10201;0.5509
Pop;fe12b113;359025;18896;1873;0.0991;8286;0.4385
Modern;0200db01;16575;16575;0;0.0000;0;0.0000
Pop;02104113;312225;16432;2993;0.1821;12291;0.7479
Pop;1112dd13;362325;19069;1859;0.0975;8285;0.4344
Rock;2a124813;351150;18481;2718;0.1471;10190;0.5513
Pop;36049006;87750;14625;2178;0.1489;6138;0.4196
Pop;3d049b05;88575;17715;1469;0.0829;4553;0.2570
Unknown;8c09930b;183975;16725;3347;0.2001;12077;0.7220
Pop;cf0d4b0f;255375;17025;1548;0.0909;5828;0.3423
Pop;db0d2f0f;253275;16885;994;0.0588;3100;0.1835
Pop;f0100711;307875;18110;1954;0.1079;7552;0.4170
Pop;fa0f4c10;293850;18365;2789;0.1518;10201;0.5554
